33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,ON'S,,,,,,"USD  8.964,19",#N/A,#N/A,,,,,,,,,,,,,,,,,
,RENTA FIJA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Industry,Company,Ticker,Shares,PPC ON'S,PPC USD,Invest ($),Invest (USD),PA ON'S,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),TIR (%),DPT,TDY ON's D (%),TNA,I+A,Vencimiento,% Cartera
,Argentina,Obligaciones Negociables,ON Irsa Inv. 31/03/2035,IRCPO,"8,68","$   148.876,2","USD  106,18",$   1.292.245,"USD  921,63",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,305,#N/A,#N/A,"USD  41,26",31/03/2035,#N/A
,Argentina,Obligaciones Negociables,ON Pluspetrol Clase  - Vto. 29/05/2032,PLC4O,1000,"$   1.604,6","USD  1,07",$   1.604.570,"USD  1.069,71",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,200,#N/A,#N/A,"USD  0,00",29/05/2032,#N/A
,Argentina,Obligaciones Negociables,ON Pan American Energy Clase 43 - Vto. 15/01/2037,PN43O,2000,"$   1.511,0","USD  1,07",$   3.022.024,"USD  2.135,36",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,#N/A,#REF!,49,#N/A,#N/A,"USD  0,00",15/01/2037,#N/A
,Argentina,Obligaciones Negociables,ON MSU Energy Vto. 05/12/2030,RUCDO,942,"$   1.518,6","USD  1,05",$   1.430.504,"USD  991,79",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102,#N/A,#N/A,"USD  0,00",05/12/2030,#N/A
,Argentina,Obligaciones Negociables,ON C.A.River Plate Vto. 01/03/2027,RVS1O,"10094,72","$   74,4","USD  0,05",$   751.443,"USD  546,82",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,326,#N/A,#N/A,"USD  0,00",11/08/2027,#N/A
,Argentina,Obligaciones Negociables,ON TELECOM ARG. - Vto. 28/05/2033,TLCPO,"816,00","$   1.555,6","USD  1,08",$   1.269.330,"USD  877,79",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229,#N/A,#N/A,"USD  0,00",28/05/2033,#N/A
,Argentina,Obligaciones Negociables,ON Vista Energy Clase  - Vto. 10/06/2033,VSCVO,1000,"$   1.428,5","USD  1,05",$   1.428.520,"USD  1.046,06",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,"USD  5,00",16/06/2033,#N/A
